frequency,raw
20.0,-5.284
20.2,-5.208
20.4,-5.124
20.61,-5.0360000000000005
20.81,-4.954
21.02,-4.869999999999999
21.23,-4.7860000000000005
21.44,-4.686000000000001
21.66,-4.587999999999999
21.87,-4.494000000000001
22.09,-4.394
22.31,-4.290000000000001
22.54,-4.1899999999999995
22.76,-4.09
22.99,-3.988000000000001
23.22,-3.8939999999999997
23.45,-3.804
23.69,-3.724
23.92,-3.636
24.16,-3.5420000000000003
24.4,-3.4540000000000006
24.65,-3.357999999999999
24.89,-3.272
25.14,-3.182
25.39,-3.092
25.65,-2.996
25.91,-2.902
26.16,-2.8080000000000003
26.43,-2.714
26.69,-2.618
26.96,-2.526
27.23,-2.428
27.5,-2.334
27.77,-2.244
28.05,-2.1539999999999995
28.33,-2.08
28.62,-2.0140000000000002
28.9,-1.9399999999999995
29.19,-1.8760000000000001
29.48,-1.8079999999999998
29.78,-1.7419999999999998
30.08,-1.6760000000000002
30.38,-1.5900000000000003
30.68,-1.5079999999999998
30.99,-1.434
31.3,-1.358
31.61,-1.2919999999999998
31.93,-1.214
32.24,-1.174
32.57,-1.134
32.89,-1.096
33.22,-1.044
33.55,-0.986
33.89,-0.9339999999999999
34.23,-0.8800000000000001
34.57,-0.836
34.92,-0.796
35.27,-0.7199999999999999
35.62,-0.626
35.97,-0.538
36.33,-0.48400000000000015
36.7,-0.43400000000000005
37.06,-0.38
37.43,-0.308
37.81,-0.2459999999999999
38.19,-0.172
38.57,-0.08200000000000003
38.95,-0.002000000000000046
39.34,0.07600000000000003
39.74,0.13999999999999996
40.14,0.20799999999999996
40.54,0.27599999999999997
40.94,0.346
41.35,0.4159999999999999
41.76,0.4779999999999999
42.18,0.5499999999999999
42.6,0.632
43.03,0.706
43.46,0.7420000000000001
43.9,0.782
44.33,0.8480000000000001
44.78,0.9260000000000002
45.23,0.9780000000000001
45.68,0.9960000000000001
46.13,1.0260000000000002
46.6,1.082
47.06,1.126
47.53,1.1380000000000001
48.01,1.158
48.49,1.154
48.97,1.1460000000000001
49.46,1.1179999999999999
49.96,1.0959999999999999
50.46,1.1059999999999999
50.96,1.116
51.47,1.076
51.99,1.0299999999999998
52.51,1.06
53.03,1.0959999999999999
53.56,1.1
54.1,1.1079999999999999
54.64,1.0939999999999999
55.18,1.09
55.74,1.0759999999999998
56.29,1.0839999999999999
56.86,1.108
57.42,1.116
58.0,1.124
58.58,1.1700000000000002
59.16,1.224
59.76,1.294
60.35,1.348
60.96,1.388
61.57,1.428
62.18,1.498
62.8,1.6420000000000001
63.43,1.6920000000000002
64.07,1.7100000000000002
64.71,1.832
65.35,1.9240000000000002
66.01,2.004
66.67,2.1079999999999997
67.33,2.216
68.01,2.3259999999999996
68.69,2.4059999999999997
69.37,2.5020000000000002
70.07,2.604
70.77,2.722
71.48,2.8280000000000003
72.19,2.944
72.91,3.0580000000000003
73.64,3.168
74.38,3.268
75.12,3.346
75.87,3.428
76.63,3.5420000000000003
77.4,3.6340000000000003
78.17,3.726
78.95,3.808
79.74,3.8840000000000003
80.54,3.974
81.35,4.0600000000000005
82.16,4.144
82.98,4.234
83.81,4.311999999999999
84.65,4.434
85.5,4.522
86.35,4.552
87.22,4.606
88.09,4.692
88.97,4.683999999999999
89.86,4.732
90.76,4.814000000000001
91.66,4.888
92.58,4.914
93.51,4.936
94.44,4.978
95.39,5.038
96.34,5.074
97.3,5.144
98.28,5.2
99.26,5.188
100.25,5.142
101.25,5.138
102.27,5.174
103.29,5.207999999999999
104.32,5.2299999999999995
105.37,5.194
106.42,5.1499999999999995
107.48,5.135999999999999
108.56,5.1259999999999994
109.64,5.072000000000001
110.74,5.048
111.85,5.026
112.97,5.002000000000001
114.1,4.982
115.24,4.958
116.39,4.938
117.55,4.912000000000001
118.73,4.862
119.92,4.832
121.12,4.814
122.33,4.732
123.55,4.683999999999999
124.79,4.714
126.03,4.678
127.29,4.644
128.57,4.612
129.85,4.618
131.15,4.595999999999999
132.46,4.522
133.79,4.438
135.12,4.406000000000001
136.48,4.367999999999999
137.84,4.2700000000000005
139.22,4.214
140.61,4.184
142.02,4.154000000000001
143.44,4.061999999999999
144.87,3.966
146.32,3.908
147.78,3.844
149.26,3.7880000000000003
150.75,3.694
152.26,3.5980000000000003
153.78,3.482
155.32,3.368
156.88,3.232
158.44,3.088
160.03,2.962
161.63,2.846
163.24,2.746
164.88,2.6439999999999997
166.53,2.5479999999999996
168.19,2.494
169.87,2.446
171.57,2.408
173.29,2.332
175.02,2.2640000000000002
176.77,2.184
178.54,2.136
180.32,2.0900000000000003
182.13,2.028
183.95,1.9579999999999997
185.79,1.9140000000000001
187.65,1.8240000000000003
189.52,1.716
191.42,1.6279999999999997
193.33,1.554
195.27,1.456
197.22,1.3679999999999999
199.19,1.276
201.18,1.16
203.19,1.066
205.23,0.978
207.28,0.914
209.35,0.844
211.44,0.756
213.56,0.6759999999999999
215.69,0.616
217.85,0.51
220.03,0.466
222.23,0.42400000000000004
224.45,0.348
226.7,0.264
228.96,0.22199999999999998
231.25,0.19
233.57,0.12600000000000003
235.9,0.048
238.26,0.039999999999999994
240.64,4.4408920985006264e-17
243.05,-0.041999999999999996
245.48,-0.09600000000000004
247.93,-0.13400000000000004
250.41,-0.152
252.92,-0.18000000000000002
255.45,-0.22999999999999993
258.0,-0.27999999999999997
260.58,-0.32399999999999995
263.19,-0.36200000000000004
265.82,-0.4219999999999999
268.48,-0.45999999999999996
271.16,-0.49800000000000005
273.87,-0.5119999999999999
276.61,-0.4879999999999999
279.38,-0.45599999999999985
282.17,-0.346
284.99,-0.28200000000000003
287.84,-0.16799999999999998
290.72,-0.06799999999999998
293.63,0.06399999999999997
296.57,0.23400000000000012
299.53,0.398
302.53,0.5519999999999999
305.55,0.666
308.61,0.732
311.69,0.7620000000000001
314.81,0.774
317.96,0.7860000000000001
321.14,0.826
324.35,0.868
327.59,0.89
330.87,0.898
334.18,0.898
337.52,0.8919999999999998
340.9,0.8880000000000001
344.3,0.8459999999999999
347.75,0.806
351.23,0.7659999999999998
354.74,0.7299999999999999
358.28,0.692
361.87,0.6599999999999999
365.49,0.58
369.14,0.53
372.83,0.4779999999999999
376.56,0.442
380.33,0.394
384.13,0.362
387.97,0.33599999999999997
391.85,0.31000000000000005
395.77,0.27999999999999997
399.73,0.26400000000000007
403.72,0.22999999999999998
407.76,0.18999999999999995
411.84,0.17999999999999988
415.96,0.15200000000000005
420.12,0.13999999999999999
424.32,0.12600000000000003
428.56,0.12600000000000003
432.85,0.12399999999999997
437.18,0.13000000000000003
441.55,0.11799999999999997
445.96,0.07400000000000002
450.42,0.06399999999999997
454.93,0.08199999999999999
459.48,0.094
464.07,0.09600000000000004
468.71,0.10400000000000005
473.4,0.11199999999999996
478.13,0.11600000000000002
482.91,0.11400000000000006
487.74,0.10400000000000001
492.62,0.08999999999999994
497.55,0.088
502.52,0.094
507.55,0.08000000000000007
512.62,0.07199999999999998
517.75,0.07200000000000002
522.93,0.07400000000000002
528.16,0.07800000000000003
533.44,0.054000000000000006
538.77,0.03199999999999999
544.16,0.039999999999999994
549.6,0.025999999999999978
555.1,0.009999999999999964
560.65,-0.06400000000000006
566.25,-0.086
571.92,-0.10600000000000001
577.64,-0.12799999999999997
583.41,-0.142
589.25,-0.156
595.14,-0.154
601.09,-0.15999999999999998
607.1,-0.16999999999999998
613.17,-0.17999999999999997
619.3,-0.174
625.5,-0.20200000000000004
631.75,-0.21000000000000002
638.07,-0.21599999999999997
644.45,-0.21800000000000003
650.89,-0.21000000000000002
657.4,-0.196
663.98,-0.178
670.62,-0.16399999999999998
677.32,-0.19399999999999998
684.1,-0.19
690.94,-0.188
697.85,-0.18
704.83,-0.16199999999999998
711.87,-0.152
718.99,-0.146
726.18,-0.13399999999999998
733.44,-0.13599999999999998
740.78,-0.13199999999999998
748.19,-0.162
755.67,-0.18000000000000002
763.23,-0.18
770.86,-0.182
778.57,-0.18
786.35,-0.18000000000000002
794.22,-0.188
802.16,-0.18800000000000003
810.18,-0.166
818.28,-0.158
826.46,-0.146
834.73,-0.148
843.08,-0.14200000000000002
851.51,-0.148
860.02,-0.144
868.62,-0.144
877.31,-0.188
886.08,-0.20800000000000002
894.94,-0.21800000000000003
903.89,-0.23200000000000004
912.93,-0.23000000000000004
922.06,-0.24600000000000005
931.28,-0.252
940.59,-0.23400000000000004
950.0,-0.21800000000000003
959.5,-0.198
969.09,-0.14999999999999997
978.78,-0.10200000000000001
988.57,-0.06
998.46,-0.008
1008.44,0.026000000000000002
1018.53,0.076
1028.71,0.10800000000000001
1039.0,0.14200000000000002
1049.39,0.188
1059.88,0.22400000000000003
1070.48,0.258
1081.19,0.288
1092.0,0.318
1102.92,0.346
1113.95,0.378
1125.09,0.404
1136.34,0.43200000000000005
1147.7,0.45
1159.18,0.48200000000000004
1170.77,0.5199999999999999
1182.48,0.55
1194.3,0.5820000000000001
1206.25,0.61
1218.31,0.6519999999999999
1230.49,0.6900000000000001
1242.8,0.7779999999999999
1255.22,0.836
1267.78,0.8780000000000001
1280.45,0.9259999999999999
1293.26,0.986
1306.19,1.03
1319.25,1.078
1332.45,1.1440000000000001
1345.77,1.2200000000000002
1359.23,1.2820000000000003
1372.82,1.35
1386.55,1.43
1400.41,1.542
1414.42,1.61
1428.56,1.6900000000000002
1442.85,1.8199999999999998
1457.28,1.966
1471.85,2.0700000000000003
1486.57,2.152
1501.43,2.2439999999999998
1516.45,2.362
1531.61,2.4539999999999997
1546.93,2.556
1562.4,2.65
1578.02,2.784
1593.8,2.9219999999999997
1609.74,3.058
1625.84,3.168
1642.1,3.29
1658.52,3.44
1675.1,3.604
1691.85,3.7340000000000004
1708.77,3.8720000000000008
1725.86,3.9939999999999998
1743.12,4.1240000000000006
1760.55,4.266
1778.15,4.4079999999999995
1795.94,4.529999999999999
1813.9,4.6659999999999995
1832.03,4.776
1850.36,4.902
1868.86,5.024
1887.55,5.152
1906.42,5.276000000000001
1925.49,5.4079999999999995
1944.74,5.51
1964.19,5.651999999999999
1983.83,5.7700000000000005
2003.67,5.912000000000001
2023.71,6.0600000000000005
2043.94,6.21
2064.38,6.372000000000001
2085.03,6.536
2105.88,6.678
2126.94,6.828
2148.2,6.973999999999999
2169.69,7.114
2191.38,7.242
2213.3,7.382000000000001
2235.43,7.504
2257.78,7.647999999999999
2280.36,7.790000000000001
2303.17,7.952
2326.2,8.076
2349.46,8.218
2372.95,8.334
2396.68,8.458
2420.65,8.588
2444.86,8.67
2469.31,8.746
2494.0,8.854000000000001
2518.94,8.98
2544.13,9.054000000000002
2569.57,9.118
2595.27,9.178
2621.22,9.192
2647.43,9.241999999999999
2673.9,9.298000000000002
2700.64,9.408
2727.65,9.52
2754.93,9.642
2782.48,9.714
2810.3,9.778
2838.4,9.81
2866.79,9.852
2895.46,9.873999999999999
2924.41,9.882000000000001
2953.65,9.906
2983.19,9.936
3013.02,9.975999999999999
3043.15,9.986
3073.58,10.010000000000002
3104.32,10.075999999999999
3135.36,10.104000000000001
3166.72,10.12
3198.38,10.146
3230.37,10.138
3262.67,10.129999999999999
3295.3,10.154
3328.25,10.146
3361.53,10.096
3395.15,10.065999999999999
3429.1,10.034000000000002
3463.39,9.982000000000001
3498.03,9.907999999999998
3533.01,9.852
3568.34,9.774
3604.02,9.666
3640.06,9.542
3676.46,9.408
3713.22,9.264
3750.36,9.06
3787.86,8.864
3825.74,8.693999999999999
3864.0,8.516
3902.64,8.342
3941.66,8.19
3981.08,8.010000000000002
4020.89,7.866
4061.1,7.75
4101.71,7.675999999999999
4142.73,7.574000000000001
4184.15,7.458
4226.0,7.358
4268.26,7.2620000000000005
4310.94,7.206
4354.05,7.208
4397.59,7.208
4441.56,7.2
4485.98,7.274000000000001
4530.84,7.367999999999999
4576.15,7.428
4621.91,7.426
4668.13,7.409999999999999
4714.81,7.38
4761.96,7.308
4809.58,7.220000000000001
4857.67,7.087999999999999
4906.25,6.947999999999999
4955.31,6.837999999999999
5004.87,6.7559999999999985
5054.91,6.69
5105.46,6.612
5156.52,6.526000000000001
5208.08,6.4079999999999995
5260.16,6.2299999999999995
5312.77,6.074
5365.89,5.894
5419.55,5.682
5473.75,5.49
5528.49,5.287999999999999
5583.77,5.06
5639.61,4.8420000000000005
5696.0,4.686
5752.96,4.54
5810.49,4.4239999999999995
5868.6,4.266
5927.28,4.140000000000001
5986.56,4.058
6046.42,3.9799999999999995
6106.89,3.886
6167.96,3.814
6229.64,3.75
6291.93,3.6420000000000003
6354.85,3.5060000000000002
6418.4,3.368
6482.58,3.2560000000000002
6547.41,3.1120000000000005
6612.88,2.982
6679.01,2.934
6745.8,2.9579999999999997
6813.26,2.966
6881.39,2.904
6950.21,2.786
7019.71,2.646
7089.91,2.5140000000000002
7160.81,2.38
7232.41,2.2800000000000002
7304.74,2.21
7377.79,2.166
7451.56,2.178
7526.08,2.254
7601.34,2.396
7677.35,2.544
7754.13,2.724
7831.67,2.93
7909.98,3.11
7989.08,3.314
8068.98,3.6080000000000005
8149.67,3.818
8231.16,4.034000000000001
8313.47,4.2219999999999995
8396.61,4.3740000000000006
8480.57,4.56
8565.38,4.676
8651.03,4.717999999999999
8737.54,4.714
8824.92,4.664
8913.17,4.5379999999999985
9002.3,4.4079999999999995
9092.32,4.264
9183.25,4.1259999999999994
9275.08,4.07
9367.83,3.9619999999999997
9461.51,3.72
9556.12,3.5040000000000004
9651.68,3.346
9748.2,3.1220000000000003
9845.68,2.722
9944.14,2.3579999999999997
10043.58,1.9340000000000004
10144.02,1.566
10245.46,1.2100000000000002
10347.91,0.6900000000000002
10451.39,0.18800000000000008
10555.91,-0.3280000000000001
10661.46,-0.868
10768.08,-1.5319999999999998
10875.76,-2.3660000000000005
10984.52,-3.732
11094.36,-5.17
11205.31,-6.05
11317.36,-5.665999999999999
11430.53,-4.904000000000001
11544.84,-4.314
11660.29,-3.8340000000000005
11776.89,-3.3520000000000003
11894.66,-2.946
12013.6,-2.966
12133.74,-2.9899999999999993
12255.08,-3.1839999999999997
12377.63,-3.12
12501.41,-3.0919999999999996
12626.42,-3.75
12752.68,-4.494000000000001
12880.21,-4.739999999999999
13009.01,-4.224
13139.1,-3.4200000000000004
13270.49,-2.7360000000000007
13403.2,-2.5300000000000002
13537.23,-2.7319999999999998
13672.6,-3.0780000000000003
13809.33,-3.464
13947.42,-3.782
14086.9,-3.964
14227.77,-4.298
14370.04,-4.73
14513.74,-5.101999999999999
14658.88,-5.553999999999999
14805.47,-6.070000000000001
14953.52,-6.56
15103.06,-7.07
15254.09,-7.616
15406.63,-7.854000000000001
15560.7,-8.203999999999999
15716.3,-8.431999999999999
15873.47,-8.894
16032.2,-9.428
16192.52,-10.422
16354.45,-11.251999999999999
16517.99,-11.473999999999998
16683.17,-11.574000000000002
16850.01,-11.751999999999999
17018.51,-11.812000000000001
17188.69,-12.026
17360.58,-12.431999999999999
17534.18,-12.876000000000001
17709.53,-13.248
17886.62,-13.315999999999999
18065.49,-13.212
18246.14,-12.95
18428.6,-12.73
18612.89,-12.524000000000001
18799.02,-12.578
18987.01,-12.922
19176.88,-13.398
19368.65,-13.745999999999999
19562.33,-14.063999999999998
19757.96,-14.564000000000002
19955.54,-15.604
